simulation_id,folder_name,model_type,track_type,domain_width,domain_height,domain_file,gradient_file,gradient_scale,mcs_duration,folder_path,png_count,total_frames,frames_analyzed,frames_skipped,collision_frames,collision_percentage,max_collision_intensity,mean_collision_intensity,track_progress_percentage,max_y_position,progress_data_source
1199,WPI-PIP3_Collision_TrackB_1199,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_1199,301,301,286,15,230,80.41958041958041,0.000763417054737,0.000152424323728,88.4931111111111,398.219,celltracks
1209,WPI-PIP3_Collision_TrackB_1209,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_1209,401,401,386,15,314,81.34715025906736,0.0006542932542365,0.0001309908746071,96.122,432.549,celltracks
3,WPI-PIP3_Collision_TrackB_3,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_3,401,401,386,15,306,79.27461139896373,0.0005453157378121,0.000110309814319,95.928,431.676,celltracks
41,WPI-PIP3_Collision_TrackB_41,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_41,401,401,386,15,327,84.71502590673575,0.0005345260172357,0.0001175998799581,95.19155555555557,428.362,celltracks
42,WPI-PIP3_Collision_TrackB_42,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_42,401,401,386,15,288,74.61139896373057,0.0005016467098519,0.0001127942738453,95.71333333333332,430.71,celltracks
43,WPI-PIP3_Collision_TrackB_43,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_43,401,401,386,15,322,83.41968911917098,0.0005016467098519,0.0001307331292275,95.49177777777778,429.713,celltracks
44,WPI-PIP3_Collision_TrackB_44,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_44,401,401,386,15,270,69.94818652849742,0.0005561977882958,0.0001210434653592,83.59,376.155,celltracks
45,WPI-PIP3_Collision_TrackB_45,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_45,401,401,386,15,312,80.82901554404145,0.0006215989269239,0.0001230763567925,95.72555555555556,430.765,celltracks
46,WPI-PIP3_Collision_TrackB_46,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_46,401,401,386,15,309,80.05181347150258,0.0005779905558524,0.0001277382139176,95.29355555555556,428.821,celltracks
47,WPI-PIP3_Collision_TrackB_47,WPI-PIP3,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/WPI-PIP3_Collision_TrackB_47,401,401,386,15,325,84.19689119170984,0.0006107935953928,0.0001257347014331,95.77466666666666,430.986,celltracks
