"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
0	1	17.25412541	22.5	125.2934899	1212	43.41814498
1	1	18.0814121	22.53674352	161.7929562	1388	48.18118609
2	1	18.42517986	22.46834532	165.8484525	1390	49.4330537
3	1	18.2262931	22.4066092	163.1803629	1392	50.05754232
4	1	18.23165468	22.19784173	166.8089648	1390	50.95741098
5	1	18.20503597	22.51582734	166.5955176	1390	51.21316539
6	1	18.23143475	22.78658976	164.1408751	1387	51.82472297
7	1	18.48023005	22.57728253	164.3543223	1391	51.06171996
8	1	18.56241033	22.78120516	168.9434365	1394	51.38414836
9	1	18.79827089	22.89913545	168.7299893	1388	52.27469495
10	1	18.56937455	22.61107117	166.8089648	1391	51.40368804
11	1	18.69136691	22.94820144	165.6350053	1390	51.85018714
12	1	18.80215827	23.07338129	170.864461	1390	52.21370207
13	1	18.64845435	22.77282531	169.6905016	1391	52.45490686
14	1	18.72302158	22.91510791	168.7299893	1390	52.63359672
15	1	18.86321094	22.89992801	169.4770544	1389	52.55180858
16	1	18.86268871	22.95614666	171.8249733	1391	52.52283232
17	1	18.82386772	23.20488857	170.4375667	1391	53.45003781
18	1	18.45905172	23.67887931	168.5165422	1392	54.6480724
19	1	18.86647523	24.16511127	171.9316969	1393	54.62478059
20	1	19.16990641	24.0712743	169.2636073	1389	54.14453998
21	1	19.1420373	24.10903874	171.9316969	1394	54.56329496
22	1	19.2875629	24.59166068	175.4535752	1391	55.52763381
23	1	19.4445245	24.78386167	169.6905016	1388	55.57515292
24	1	19.66905958	25.00717875	171.7182497	1393	55.43631025
25	1	20.09462366	25.91827957	172.3585912	1395	55.97876582
26	1	20.32591529	26.29720029	169.9039488	1393	56.17168394
27	1	20.69662114	26.91660676	172.3585912	1391	56.23175956
28	1	21.0323741	27.64604317	170.2241195	1390	56.3953127
29	1	21.34314429	28.28715004	171.2913554	1393	56.89895453
30	1	21.49354376	28.47417504	169.0501601	1394	56.81580018
31	1	21.65683453	29.3381295	173.1056564	1390	56.38302655
32	1	21.97204301	29.40501792	171.5048026	1395	55.79803892
33	1	22.06676238	29.79612347	172.0384205	1393	55.7290453
34	1	22.22613065	30.38119167	173.959445	1393	55.52347634
35	1	22.19280576	30.36115108	174.8132337	1390	55.20487024
