"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
0	1	17.25412541	22.5	125.2934899	1212	43.41814498
1	1	18.32805755	22.26546763	164.8879402	1390	47.32955219
2	1	18.87985612	22.50647482	167.2358591	1390	48.02244492
3	1	19.03735632	22.69252874	166.0618997	1392	48.74433359
4	1	19.36997126	22.81034483	170.1173959	1392	48.44018671
5	1	19.27442529	22.82686782	171.7182497	1392	48.71317132
6	1	18.9734767	22.84086022	168.4098186	1395	49.01244265
7	1	19.07836089	23.34867002	172.1451441	1391	48.86857182
8	1	19.53050969	23.28499641	171.2913554	1393	49.19674961
9	1	19.46690647	23.23669065	170.1173959	1390	49.16958248
10	1	19.39255014	23.3230659	172.1451441	1396	49.53959228
11	1	19.35349172	23.74226062	166.8089648	1389	49.58620168
12	1	19.76166547	23.84493898	171.398079	1393	49.50880588
13	1	20.05623648	24.39293439	168.4098186	1387	50.39088557
14	1	20.04457225	24.44716032	169.3703308	1391	50.61082855
15	1	20.01799856	24.50683945	175.8804696	1389	50.56146777
16	1	20.14008621	25.32327586	175.3468517	1392	50.6133217
17	1	20.66331658	25.85498923	172.4653148	1393	50.57686786
18	1	20.7620417	26.30841121	168.5165422	1391	49.94586753
19	1	20.88840893	26.39092873	167.1291355	1389	50.08172227
20	1	21.26058866	26.72577172	172.678762	1393	51.00431587
21	1	21.33309404	27.22541278	172.678762	1393	51.42831244
22	1	21.43194842	27.84097421	170.864461	1396	51.5144724
23	1	21.41312185	28.03604903	167.6627535	1387	51.33817963
24	1	21.7183908	28.26221264	170.7577375	1392	51.7335195
25	1	21.90517241	28.59123563	169.1568837	1392	51.64823897
26	1	22.01939655	28.63362069	170.864461	1392	51.33335141
27	1	21.97408207	28.49316055	170.864461	1389	51.87214129
28	1	22.05395683	28.42446043	173.5325507	1390	51.93040272
29	1	22.42908567	28.63714903	175.3468517	1389	52.42174908
30	1	22.58519051	29.10280374	170.864461	1391	52.16132244
31	1	22.50396539	29.82047585	171.1846318	1387	52.48605576
32	1	22.36063218	30.03232759	168.5165422	1392	52.17511683
33	1	22.36180905	30.24694903	173.5325507	1393	51.79367268
34	1	22.29525862	30.53304598	169.6905016	1392	50.79344758
35	1	22.86308244	30.77777778	167.4493063	1395	50.11087527
36	1	22.64680546	30.96697775	173.8527215	1393	50.21750073
37	1	22.46418338	31.62034384	169.7972252	1396	50.33670299
38	1	22.45474138	31.85775862	173.2123799	1392	50.36914023
39	1	22.44155844	32.15945166	172.4653148	1386	50.20164965
40	1	22.55835735	32.64697406	168.9434365	1388	49.356316
41	1	22.89183381	33.47636103	171.2913554	1396	48.6911775
42	1	23.43278217	33.68583753	171.0779082	1391	48.00415787
43	1	23.62725306	33.95602019	171.2913554	1387	47.85704236
44	1	23.80014378	34.35370237	168.6232657	1391	48.07246133
45	1	23.72158273	35.40719424	167.7694771	1390	47.67814945
46	1	24.2041847	35.76839827	169.4770544	1386	47.29819858
47	1	24.22214234	35.85693746	169.2636073	1391	46.93885311
48	1	24.39164867	35.97840173	169.6905016	1389	46.79166831
49	1	24.79409647	36.80777538	171.5048026	1389	47.56802374
50	1	24.85560345	37.3829023	170.3308431	1392	47.85407769
51	1	25.06988473	37.38904899	168.6232657	1388	47.76298917
52	1	25.70719424	37.42086331	167.8762006	1390	47.05977945
53	1	25.64290857	37.73866091	172.5720384	1389	46.79465505
54	1	26.18462644	38.10775862	168.1963714	1392	47.17382718
55	1	26.87482014	38.71510791	171.9316969	1390	46.89870648
56	1	27.12400865	38.94881038	170.4375667	1387	47.09378729
57	1	26.86258993	39.35683453	167.4493063	1390	47.24786357
58	1	27.32997118	39.4870317	169.1568837	1388	48.56305877
59	1	27.7232207	39.75988497	166.8089648	1391	49.0747973
60	1	27.6349892	39.73074154	171.2913554	1389	49.25023343
61	1	27.93232541	39.76457883	166.1686233	1389	49.46128068
62	1	27.93722944	40.19336219	161.8996798	1386	49.63045253
63	1	28.39036664	40.3759885	172.2518677	1391	50.86577536
64	1	28.12933526	40.59682081	166.5955176	1384	50.16017696
65	1	28.63131313	40.84848485	168.0896478	1386	50.85966779
66	1	28.64506839	40.64290857	171.5048026	1389	51.23739902
67	1	29.2	41.19568345	170.0106724	1390	51.83013901
68	1	29.42086331	40.93884892	168.5165422	1390	51.73002343
69	1	29.3364486	40.82027318	173.7459979	1391	51.66483014
70	1	29.41091954	40.55962644	165.6350053	1392	51.81088511
71	1	29.12833453	40.65969719	163.0736393	1387	51.57253346
72	1	29.47844828	40.93965517	171.398079	1392	52.84584873
73	1	29.87006461	41.1844939	173.959445	1393	53.3831153
74	1	30.24207493	41.31051873	168.8367129	1388	54.1320648
75	1	30.79942487	41.30122214	173.5325507	1391	55.00180704
76	1	30.94185212	41.31801866	170.4375667	1393	55.79500154
77	1	31.22988506	41.38577586	169.2636073	1392	55.3066653
78	1	31.78257739	41.50395968	169.4770544	1389	55.4420744
79	1	31.67991329	41.25216763	168.8367129	1384	54.40595674
80	1	31.97330447	41.67676768	169.2636073	1386	54.96330108
81	1	31.89337176	41.79827089	169.1568837	1388	55.31253551
82	1	31.59698276	41.73275862	167.5560299	1392	55.29372977
83	1	31.89016511	41.91529074	170.0106724	1393	56.29750287
84	1	32.32828283	41.8001443	169.9039488	1386	56.33910291
85	1	32.74856322	41.95043103	169.3703308	1392	55.86518434
86	1	32.89791517	41.77713875	170.5442903	1391	56.37994377
87	1	33.04322767	42.00720461	169.0501601	1388	56.81831223
88	1	33.54558507	41.88872936	165.8484525	1393	56.53584585
89	1	33.57512581	42.0589504	165.3148346	1391	56.70368323
90	1	33.53208363	42.14347513	165.6350053	1387	56.72531812
91	1	34.12517986	42.3323741	172.4653148	1390	58.4029232
92	1	35.01657061	42.43659942	171.5048026	1388	58.96862107
93	1	35.35606604	42.33165829	169.9039488	1393	59.50520437
94	1	35.38920863	42.90143885	169.4770544	1390	58.93591203
